Date,Tweet,Username,Location,Profile Bio,Likes,Retweets
2022-10-26,John Ivison: It's becoming clear the federal government overreached to shut down Freedom Convoy | National Post https://t.co/kvnlEWPALr,BarbaraAnneW5,,"Public concerns. Private personality. Christian. Grateful for life and love. Dedicated to contributing to truth, peace, compassion and fairness.",0,0
2022-10-26,"@mattgurney Law &amp; order was restored &amp; until you don't have it you can't appreciate how terrifying it is. No one in ON or GoC was responding to @cmckenney while she ""ding! ding! ding!"" for help because - for some reason - @OttawaPolice were not enforcing the law against the Freedom Convoy.",Dumbshowsnoise,Canada,"Check out my book ""That Looks Good on You - You Should Buy It!"" which is being serialized at GalaxyBrain.ca and then spread the word. Thanks! You're the best!",0,0
2022-10-26,"@Matt18548209 @chriswtburke @AlbertaGal1 @RealAndyLeeShow I have been at many protests over the decades, and they are very different than what happened in Ottawa and what happens with citizens of Indigenous title holding nations carrying out land defense.

""Freedom Convoy"" got kid gloves because they aren't a threat to the True Canada.",russellmcormond,"Ottawa, Algonquin territory","Settler Canadian living on lands of Anishnaabeg peoples my entire life.

#Neurodiversity

#Decolonize #IndigenousLivesMatter

#UNDRIP #LandBack",1,0
2022-10-26,"John Ivison: It's becoming clear the federal government overreached to shut down Freedom Convoy | National Post #cdnpoli #Ottawa 
 https://t.co/1JCB4HCg5h",forest10000,"Ontario, Canada",Politics and Media coverage  if RT not necessarily endorsement but may just be a different or interesting viewpoint,6,3
2022-10-26,"Now, you all confront the TRUTH! 

Where were you all during the Peaceful FREEDOM CONVOY Event?

 https://t.co/0HgHA2wOaI",DonaldReagan123,,"FREEDOM:  Embrace it! Cherish it! Protect it! Never to be given up! Once it's gone, it will be lost forever! Have Faith In 🙏 God!",0,0
2022-10-26,"@wardo316 @sturgeon_sue @WillKon @sanwins @RodKahx Petty insults isn't really productive, shows weak intellect. I've been getting dogpiled and stayed pretty civil. Why insult people?

So we are arguing about the freedom convoy and you are posting articles not related to it for confirmation bias or something?",TRexTinyarms,"Calgary, Alberta","Twitter is a hellhole but an enjoyable one. 
HVAC dude, Cryptobro, Skeptic, Fuck Trudeau and the WEF",0,0
2022-10-26,"@acoyne Blocked him. Used to read him but can't get past @nationalpost publishing flat out propaganda about the Freedom Convoy being a peace-loving protest by out-of-work truckers because of federal workplace regulations re vaccination, when it was a Russian op/terrorist insurrection.🙂",Dumbshowsnoise,Canada,"Check out my book ""That Looks Good on You - You Should Buy It!"" which is being serialized at GalaxyBrain.ca and then spread the word. Thanks! You're the best!",9,0
2022-10-26,"@PaulMitchell_AB If you think this is a symbol of freedom and they are Canadian heroes, like your fellow convoy conservative pals believe, you are a loser. Believe that. https://t.co/AS03oZYvur",TaylorDcKer,"Edmonton, Alberta","Back again… Lover of the good old outdoors, Canadian winters and craft beer 🍁",0,0
2022-10-26,"@journo_dale Mis/disinfo. 
The disparate grp whose goal was ""overturning of democracy....."" represented a very small fringe grp that piggybacked on the 'Freedom Convoy"".
Sadly, the legal, but naive &amp; poorly organized Freedom Convoy protesters realized this thorn in their side too late.",AnnStew80895938,"Kington, Ontario","Attended KCVI, Queen's. 
Reading/Politics/History/Ancestry/hockey
""There are more things in heaven & earth Horatio than are dreamt of in your philosophy"".",0,0
2022-10-26,"John Ivison: It's becoming clear the federal government overreached to shut down Freedom Convoy, via @NationalPost https://t.co/qS46GsZKVL",derekrogden,"Ottawa, Ontario","Founder of Obsidian Consulting, Ret. Director General Drugs & Organized Crime for the RCMP. Bullish Defi, Uranium and PM",19,6
2022-10-26,@DrJewLittle68 The Conservative party here is trying Trump tricks to not have to testify about the Freedom Convoy and his  hiding at his cottage for 3 weeks last February when they took over our capital city of Ottawa!,PMB541,"Welland, Ontario","Happily married 46 years. Knitter, love doing jigsaw puzzles, baking, making breads.",0,0
2022-10-26,"Exactly. Some of their pathetic excuses to in their further attempts to collectively keep either shifting or wanting to take no responsibility for what all agencies have done, while destroying the #FreedomConvoy protesters, w/ unrelenting excessive force, abusing of civil rights. https://t.co/zHmlGFtkuW https://t.co/cMYz7VDmtt",Richard4m,America,#MAGA RT’d by📍@realDonaldTrump Followed by: @ScottBaio @BarnettforAZ @RyanAFournier @Polo4Congress @RitaCosby @SwaffarCongress @NewDayForNJ @SenRichardBlack 🗽,1,0
