Date,Tweet,Username,Location,Profile Bio,Likes,Retweets
2022-10-14,"@backtolife_2023 A global economy that seems to be in ruins, rising food and energy prices, and people having to move from house and home which will lead to people going to starve and freeze to death and a looming nuclear war, this virus with an almost 100% survival is the least og our problems",Topdm82,,"In the end, God always wins 🙏❤️",3,3
2022-10-14,Nobody talking about these rising gas prices 😒,_avantij,Paris,Self Focused ♎️,0,0
2022-10-14,@nota_socialist @minnisp @TimRunsHisMouth So did the rising gas prices.,Woker60355739,,,1,0
2022-10-14,@RBReich No sir.  Rising prices on everything is due to massive goverment spending.  Take Econ 101.  It is free by our current administration.  😂😂😂😂,jtamez534,,,0,0
2022-10-14,"You are an absolute clown.
You refuse to acknowledge the hand YOU play in rising prices with you and Trudeau’s out of control spending and never ending tax hikes.

And you have the utter gall to call it “greedflation” and blame it on companies. 

Fuck you and #FuckTrudeau https://t.co/hpK50fqE9W",Hey_iAmThatGuy,,I'm Just Some Guy | Pronouns: (That/Guy),0,0
2022-10-14,POLL: Rising gas prices could sink Democrats' midterm ambitions https://t.co/fhYQgXA7fd,RevDrJestus,Minnesota,A happy old guy only looking for the Wise and the Honest in society or the hungry and thirsty in theology.,0,0
2022-10-14,"Rising consumer prices have been driven largely by higher food costs including surging rates for pork, despite government moves to stabilize prices in the world's top consumer of the meat.
https://t.co/Ua7QmilWHU",NikkeiAsia,"Tokyo, New York","The latest headlines from Nikkei Asia. We tell untold stories about Asia, from Asia.

Follow our journalists here: s.nikkei.com/AsiaStaff",2,1
2022-10-14,@__Arthur_Dent__ @MollyJongFast Same could be said for rising gas prices. 🤡🤡🤡🤡,ShTpos69,,"opensea.io/collection/afg…

Take a peak!",0,0
2022-10-14,@mcfw Go figure. I’m sure they will have much more of that with food prices rising. Not that people like that need an excuse. Just leads to even more price hikes &amp; the rest of us are stuck paying for their sh%t! It sucks. #DontStealFromDanny,HillMumof3,"Conesus Lake, NY",,1,0
2022-10-14,"@JoeBiden Joe Biden has a son that impregnated a stripper and paid prostitutes for sex, and he’s lecturing about reproductive rights. Americans are more concerned with soaring inflation, escalating crime rates, a recession, rising gas prices, and the brink of nuclear war. #Bidenisbad",EvanHarris99999,"Tampa, FL",College graduate. MBA. Entrepreneur. marine vet. Go Dawgs.,0,0
2022-10-14,Ted Budd likes to point fingers and pass blame for rising prices but when it comes to working to lower costs he has consistently voted against measures that would help North Carolinians save on  gas prescription drugs groceries baby formula and energy bills for corp backing,Dailybeast3,,,0,0
2022-10-14,"@JoeBiden Now do out of control crime due to revolving door justice system, Inflation, once again rising gas prices, Our retirement money disappearing, and Fentanyl deaths due to open borders.",condosgeorge,"Myrtle Beach, SC","Learn from Yesterday, Live for Today, Hope for Tomorrow. HigherPowered since 3/30/95 #Sobriety #BlessedAndGrateful #MAGA #VoteRedToSaveAmerica",0,0
